F01,other,silence,0.0,1.273
F01,other,receiver_M,1.273,1.581
F01,other,silence,1.581,1.975
F01,other,caller_F,1.975,2.479
F01,other,silence,2.479,3.534
F01,other,receiver_M,3.534,3.851
F01,other,silence,3.851,4.094
F01,other,laughter_cF,4.094,5.056
F01,other,caller_F laughter_rM,5.056,5.215
F01,other,caller_F,5.215,9.428
F01,other,silence,9.428,9.918
F01,other,laughter_rM,9.918,10.548
F01,other,receiver_M,10.548,11.78
F01,other,caller_F,11.78,11.836
F01,other,caller_F filler_rM,11.836,12.366
F01,other,caller_F,12.366,12.879
F01,other,silence,12.879,13.598
F01,other,receiver_M,13.598,16.193
F01,other,laughter_cF receiver_M,16.193,16.949
F01,other,laughter_cF laughter_rM,16.949,17.35
F01,other,laughter_cF,17.35,18.619
F01,other,caller_F,18.619,23.659
F01,other,silence,23.659,24.079
F01,other,receiver_M,24.079,29.162
F01,other,silence,29.162,29.856
F01,other,caller_F,29.856,39.213
F01,other,receiver_M,39.213,39.639
F01,other,caller_F receiver_M,39.639,40.0
F01,other,caller_F,40.0,40.877
F01,other,silence,40.877,41.866
F01,other,receiver_M,41.866,41.998
F01,other,filler_cF,41.998,42.279
F01,other,filler_cF receiver_M,42.279,42.461
F01,other,receiver_M,42.461,42.709
F01,other,silence,42.709,43.96
F01,other,caller_F,43.96,45.15
F01,other,caller_F receiver_M,45.15,45.591
F01,other,receiver_M,45.591,50.187
F01,other,caller_F receiver_M,50.187,50.86
F01,other,receiver_M,50.86,51.009
F01,other,silence,51.009,51.667
F01,other,caller_F,51.667,51.92
F01,other,caller_F receiver_M,51.92,52.504
F01,other,receiver_M,52.504,53.028
F01,other,laughter_rM,53.028,53.174
F01,other,laughter_cF laughter_rM,53.174,53.984
F01,other,filler_cF,53.984,55.083
F01,other,caller_F,55.083,59.35
F01,other,caller_F receiver_M,59.35,59.598
F01,other,caller_F,59.598,63.013
F01,other,laughter_cF,63.013,63.289
F01,other,laughter_cF laughter_rM,63.289,64.697
F01,other,silence,64.697,65.468
F01,other,receiver_M,65.468,66.731
F01,other,laughter_rM,66.731,67.293
F01,other,laughter_cF laughter_rM,67.293,67.657
F01,other,laughter_cF,67.657,68.798
F01,other,caller_F,68.798,71.424
F01,other,silence,71.424,72.399
F01,other,caller_F,72.399,72.713
F01,other,caller_F receiver_M,72.713,73.05
F01,other,caller_F,73.05,73.27
F01,other,silence,73.27,73.855
F01,other,caller_F,73.855,78.606
F01,other,caller_F filler_rM,78.606,78.954
F01,other,receiver_M,78.954,80.027
F01,other,laughter_cF receiver_M,80.027,80.502
F01,other,receiver_M,80.502,81.792
F01,other,laughter_cF,81.792,82.393
F01,other,laughter_cF receiver_M,82.393,82.801
F01,other,receiver_M,82.801,89.411
F01,other,laughter_cF receiver_M,89.411,91.423
F01,other,laughter_cF,91.423,92.663
F01,strategy,caller_F,92.663,97.598
F01,strategy,silence,97.598,98.107
F01,strategy,receiver_M,98.107,98.427
F01,strategy,silence,98.427,98.609
F01,strategy,filler_cF,98.609,99.413
F01,strategy,caller_F,99.413,102.514
F01,strategy,silence,102.514,102.916
F01,strategy,receiver_M,102.916,105.468
F01,strategy,caller_F receiver_M,105.468,105.76
F01,strategy,receiver_M,105.76,108.697
F01,strategy,caller_F receiver_M,108.697,108.846
F01,strategy,receiver_M,108.846,116.474
F01,strategy,caller_F receiver_M,116.474,116.796
F01,strategy,caller_F,116.796,118.24
F01,strategy,silence,118.24,119.315
F01,strategy,receiver_M,119.315,124.208
F01,strategy,caller_F receiver_M,124.208,125.042
F01,strategy,receiver_M,125.042,126.089
F01,strategy,caller_F receiver_M,126.089,126.489
F01,strategy,receiver_M,126.489,127.602
F01,strategy,caller_F receiver_M,127.602,128.126
F01,strategy,receiver_M,128.126,128.859
F01,strategy,silence,128.859,130.815
F01,strategy,caller_F,130.815,139.961
F01,strategy,bc_rM caller_F,139.961,140.107
F01,strategy,caller_F,140.107,143.316
F01,strategy,caller_F receiver_M,143.316,143.936
F01,strategy,caller_F,143.936,145.256
F01,strategy,caller_F receiver_M,145.256,145.719
F01,strategy,receiver_M,145.719,148.182
F01,strategy,silence,148.182,148.475
F01,strategy,caller_F,148.475,151.087
F01,strategy,filler_cF,151.087,151.777
F01,strategy,caller_F,151.777,153.742
F01,strategy,receiver_M,153.742,155.032
F01,strategy,caller_F,155.032,163.937
F01,strategy,filler_cF,163.937,164.38
F01,strategy,bc_rM filler_cF,164.38,164.694
F01,strategy,caller_F,164.694,168.126
F01,strategy,filler_cF,168.126,168.786
F01,strategy,caller_F,168.786,170.018
F01,strategy,caller_F receiver_M,170.018,170.614
F01,strategy,receiver_M,170.614,173.859
F01,strategy,caller_F,173.859,180.225
F01,strategy,filler_cF,180.225,180.601
F01,strategy,filler_cF receiver_M,180.601,180.925
F01,strategy,receiver_M,180.925,181.365
F01,strategy,silence,181.365,181.858
F01,strategy,caller_F,181.858,190.133
F01,strategy,silence,190.133,190.418
F01,strategy,receiver_M,190.418,191.402
F01,strategy,filler_cF receiver_M,191.402,191.518
F01,strategy,filler_cF,191.518,192.036
F01,strategy,caller_F,192.036,197.871
F01,strategy,caller_F laughter_rM,197.871,199.279
F01,strategy,caller_F,199.279,200.603
F01,strategy,receiver_M,200.603,201.108
F01,strategy,caller_F receiver_M,201.108,201.626
F01,strategy,caller_F,201.626,202.377
F01,strategy,filler_cF,202.377,202.973
F01,strategy,caller_F,202.973,209.868
F01,strategy,filler_cF,209.868,210.419
F01,strategy,caller_F,210.419,214.602
F01,strategy,filler_cF,214.602,215.053
